#CPU cycle, #miss
97864, 244
97864, 244
97722, 242
97864, 244
97864, 244
97722, 243
97864, 243
97722, 243
97722, 243
97864, 244
97722, 243
97864, 244
97722, 243
97864, 244
97722, 243
97722, 242
97864, 244
97864, 244
97722, 243
97864, 243
97864, 244
97864, 244
97722, 243
97864, 244
97864, 244
97864, 243
97864, 243
97864, 244
97864, 244
97722, 242
97492, 243
97864, 243
97864, 244
97864, 243
97864, 244
97722, 243
97864, 243
97864, 244
97722, 243
97722, 243
97722, 242
97722, 243
97864, 244
97722, 244
97864, 244
97864, 243
97864, 243
97864, 244
97864, 244
97864, 244
97722, 243
97864, 243
97864, 243
97864, 244
97864, 243
97492, 242
97864, 244
97864, 244
97864, 244
97864, 244
97864, 244
97864, 243
97864, 244
97722, 243
97864, 244
97864, 244
97864, 244
97864, 243
97864, 244
97492, 243
97328, 241
97864, 244
97864, 244
97864, 244
97864, 244
97864, 244
97864, 243
97722, 243
97864, 244
97864, 244
97864, 244
97864, 244
97492, 241
97864, 244
97864, 244
97864, 244
97722, 243
97864, 244
97864, 244
97864, 244
97722, 244
97722, 243
97864, 244
97492, 242
97722, 243
97864, 243
97864, 244
97864, 244
97864, 244
97864, 244
97864, 243
97864, 244
97864, 244
97864, 244
97864, 243
97864, 244
97864, 244
97864, 244
97864, 244
97864, 244
97722, 243
97864, 244
97864, 244
97722, 244
97492, 242
97864, 244
97864, 244
97722, 243
97864, 244
97864, 244
97864, 243
97722, 243
97722, 243
97722, 243
97864, 244
97722, 242
97864, 244
97864, 244
97864, 244
97864, 244
97722, 242
97492, 242
97864, 244
97722, 243
97722, 243
97492, 242
97722, 243
97864, 244
97722, 243
97864, 244
97722, 242
97864, 244
97328, 240
97864, 244
97864, 244
97864, 244
97864, 244
97864, 244
97722, 242
97722, 243
97722, 243
97328, 241
97722, 243
97864, 244
97864, 244
97864, 244
97864, 244
97864, 244
97864, 243
97722, 243
97864, 243
97722, 243
97864, 244
97864, 243
97864, 244
97864, 244
97492, 241
97722, 243
97864, 244
97864, 244
97864, 244
97864, 244
97864, 244
97864, 244
97864, 244
97864, 244
97864, 244
97864, 244
97864, 243
97864, 244
97864, 244
97864, 243
97864, 244
97864, 244
97864, 244
97864, 243
97722, 243
97864, 244
97864, 244
97722, 243
97864, 243
97864, 243
97864, 243
97864, 244
97864, 244
97864, 243
97864, 244
97864, 243
97864, 243
97864, 244
97864, 243
97722, 243
97864, 244
97864, 244
97722, 244
97864, 243
97864, 244
97722, 242
97492, 241
97864, 244
97722, 243
97722, 243
97864, 244
97722, 244
97722, 243
97864, 243
97864, 243
97864, 244
97722, 243
97864, 243
97864, 244
97864, 244
97722, 243
97864, 244
97864, 244
97492, 242
97864, 244
97722, 243
97722, 243
97864, 243
97722, 242
97864, 243
97864, 244
97864, 244
97864, 244
97722, 243
97722, 243
97492, 242
97864, 244
97864, 244
97864, 244
97864, 244
97864, 244
97864, 244
97864, 244
97864, 244
97864, 244
97864, 244
97492, 243
97864, 244
97864, 243
97722, 243
97864, 243
97864, 244
97864, 244
97722, 243
97864, 244
97722, 242
97864, 244
97864, 244
97722, 244
97864, 244
97492, 242
97864, 244
97864, 244
97722, 243
97864, 244
97864, 244
97722, 243
97864, 243
97722, 244
97864, 244
97864, 244
97864, 244
97722, 243
97864, 244
97864, 243
97864, 244
97864, 244
97492, 242
97864, 243
97722, 243
97864, 244
97722, 243
97864, 244
97864, 244
97864, 244
97328, 241
97864, 244
97722, 243
97722, 243
97864, 244
97864, 243
97864, 244
97864, 244
97722, 243
97864, 244
97864, 244
97864, 244
97722, 243
97864, 243
97864, 244
97864, 244
97864, 244
97722, 243
97864, 244
97864, 244
97864, 244
97864, 244
97864, 243
97864, 243
97722, 244
97864, 244
97864, 244
97722, 243
97864, 244
97864, 244
97864, 243
97722, 243
97864, 244
97864, 243
97864, 244
97864, 244
97864, 244
97722, 243
97864, 244
97864, 243
97864, 244
97864, 244
97864, 243
97864, 244
97864, 244
97864, 244
97722, 243
97864, 244
97722, 243
97864, 244
97864, 244
97864, 244
97864, 244
97864, 244
97722, 243
97864, 243
97722, 243
97722, 243
97864, 244
97492, 242
97864, 244
97864, 243
97864, 243
97864, 244
97722, 243
97864, 244
97864, 244
97722, 243
97864, 244
97864, 244
97864, 244
97864, 244
97864, 244
97722, 243
97722, 243
97492, 242
97864, 244
97864, 244
97864, 244
97864, 244
97864, 244
97864, 244
97864, 244
97864, 244
97864, 244
97864, 244
97492, 242
97864, 244
97864, 244
97864, 244
97864, 243
97722, 243
97864, 244
97864, 243
97722, 243
97864, 244
97722, 243
97722, 243
97864, 244
97864, 243
97864, 244
97722, 243
97864, 243
97864, 244
97722, 243
97722, 243
97864, 244
97864, 244
97864, 244
97864, 244
97864, 244
97864, 244
97722, 243
97864, 244
97864, 244
97864, 243
97864, 243
97864, 244
97722, 243
97864, 244
97864, 244
97864, 243
97864, 244
97864, 244
97864, 243
97864, 244
97722, 244
97864, 243
97864, 244
97864, 243
97864, 244
97864, 244
97864, 244
97722, 243
97864, 243
97864, 244
97492, 242
97864, 243
97722, 244
97864, 244
97864, 244
97864, 244
97864, 244
97722, 242
97864, 244
97864, 244
97864, 244
97864, 244
97864, 244
97722, 243
97722, 243
97864, 244
97864, 244
97492, 242
97864, 244
97864, 244
97864, 244
97864, 244
97722, 243
97864, 244
97864, 244
97722, 242
97722, 244
97864, 244
97864, 243
97864, 244
97864, 244
97722, 243
97864, 243
97864, 244
97864, 244
97864, 244
97864, 244
97864, 244
97722, 243
97864, 244
97864, 244
97864, 243
97864, 243
97864, 244
97864, 244
97722, 243
97864, 244
97864, 244
97864, 243
97864, 244
97864, 244
97864, 244
97864, 244
97722, 243
97864, 243
97864, 244
97722, 243
97492, 242
97864, 244
97722, 243
97722, 243
97864, 244
97864, 244
97864, 244
97864, 243
97722, 243
97722, 243
97864, 244
97722, 243
97722, 243
97864, 244
97722, 243
97722, 243
97864, 244
97722, 243
97864, 244
97864, 243
97722, 243
97722, 243
97864, 243
97864, 244
97864, 244
97864, 243
97864, 244
97722, 243
97864, 243
97864, 243
97864, 243
97722, 244
97864, 244
97864, 244
97722, 243
97864, 244
97864, 244
97864, 244
97722, 243
97864, 244
97864, 244
97864, 243
97864, 243
97722, 243
97722, 243
97722, 243
97722, 243
97722, 243
97864, 244
97864, 244
97864, 244
97864, 244
97722, 242
97864, 244
97864, 244
97864, 244
97864, 244
97864, 244
97864, 244
97864, 244
97864, 244
97864, 243
97864, 244
97722, 243
97492, 243
97864, 244
97864, 243
97864, 244
97492, 243
97864, 244
97722, 243
97864, 244
97864, 244
97722, 243
97864, 244
97722, 243
97722, 243
97864, 243
97864, 244
97864, 243
97864, 243
97864, 244
97864, 244
97864, 244
97864, 244
97722, 243
97722, 242
97864, 243
97864, 244
97722, 242
97864, 244
